C1,A1,action,strength,C1_afteraction,A1_afteraction
4.394,37.77,change A1 (A1 coarse),50.0,-2.683,29.15
-2.683,29.15,change A1 (A1 coarse),50.0,0.2013,9.795
0.2013,9.795,change A1 (A1 coarse),50.0,0.5583,4.294
0.5583,4.294,change A1 (A1 coarse),50.0,0.8385,0.9288
2.108,2.722,change A1 (A1 coarse),50.0,1.489,1.329
-3.76,6.787,change A1 (A1 coarse),50.0,-3.096,5.849
0.3392,4.223,change A1 (A1 coarse),50.0,-0.4634,3.343
1.382,6.905,change A1 (A1 coarse),50.0,1.493,4.172
1.384,3.908,change A1 (A1 coarse),50.0,1.918,3.84
1.918,3.84,change A1 (A1 coarse),50.0,2.645,1.338
1.426,4.717,change A1 (A1 coarse),50.0,2.276,3.559
1.682,4.657,change A1 (A1 coarse),50.0,2.486,2.564
-45.56,47.06,change A1 (A1 coarse),50.0,-53.47,19.29
2.15,16.62,change A1 (A1 coarse),50.0,3.957,8.3
3.34,6.326,change A1 (A1 coarse),50.0,4.597,7.001
1.82,4.654,change A1 (A1 coarse),50.0,2.282,1.522
